path,tp,tn,fp,fn,support,accuracy,error_rate
demandas[].categoria,16,0,45,32,93,0.172,0.828
accion.formato_principal.categoria,13,0,32,25,70,0.1857,0.8143
delimitacion.criterio_delimitacion,14,0,31,24,69,0.2029,0.7971
sujetos[].organizaciones[].categoria,22,0,42,29,93,0.2366,0.7634
contra_quien[].categoria,21,0,29,29,79,0.2658,0.7342
contra_quien[].nivel_institucional,21,0,29,29,79,0.2658,0.7342
sujetos[].categoria,22,0,35,25,82,0.2683,0.7317
lugares[].categoria,22,0,28,20,70,0.3143,0.6857
delimitacion.es_accion_principal_con_complementarias,3,18,24,17,62,0.3387,0.6613
temporalidad.tipo_temporal,21,0,24,17,62,0.3387,0.6613
__aggregate__,570,18,591,423,1602,0.367,0.633
temporalidad.tempo_verbal,23,0,22,15,60,0.3833,0.6167
alcance.categoria,23,0,22,15,60,0.3833,0.6167
incidentes.danios_materiales.presencia,23,0,22,15,60,0.3833,0.6167
cantidad_participantes.hay_cantidad_mencionada,25,0,20,13,58,0.431,0.569
lugares[].rol_en_evento,28,0,22,14,64,0.4375,0.5625
evento.es_evento_protesta,28,0,17,18,63,0.4444,0.5556
cantidad_participantes.es_aproximada,26,0,19,12,57,0.4561,0.5439
incidentes.heridos.presencia,26,0,19,12,57,0.4561,0.5439
incidentes.represion.presencia,27,0,18,11,56,0.4821,0.5179
incidentes.muertos.presencia,27,0,18,11,56,0.4821,0.5179
temporalidad.fecha_inicio.certeza,28,0,17,10,55,0.5091,0.4909
temporalidad.fecha_fin.certeza,28,0,17,10,55,0.5091,0.4909
incidentes.enfrentamiento.presencia,28,0,17,10,55,0.5091,0.4909
incidentes.detenidos.presencia,28,0,17,10,55,0.5091,0.4909
extraccion.tiene_eventos_protesta,27,0,5,0,32,0.8438,0.1562
