fecha,anio,txt_file,txt_path,texto,conflicto,menciones,matched_terms,num_matched_terms,chars,source_jsonl_line
1989-01-03,1989,IMG_20240906_090900_1989-01-03_017_nota.txt,LaCapital_txt/lc_1989_txt/IMG_20240906_090900_1989-01-03_017_nota.txt,"Izquierda Unida repudia atentado

La Izquierda Unida de Mar del Plata expresó en un documento su ""repudio al salvaje atentado perpetrado contra la sede central del Partido Comunista en la Capital Federal"", apuntando que ""esta agresión contra el PC se encuadra en el avance del proyecto yanqui aprobado por la burguesía criolla de democracia con seguridad, o más claramente combinar el consenso que da el voto por los partidos del sistema con la represión a los luchadores sociales y a la izquierda política en general"".

El documento está firmado por Santiago Navone (PC), Analía Di Giovanni (MAS), Mari Sosa (Peronismo Base) y Luis Pasik (Socialismo Primero de Mayo) y apunta también que ""en Villa Martelli hubo varios heridos de bala y dos muertos, uno militante del Partido Comunista. Sin embargo, el presidente Alfonsín habló de que se había concluido el conflicto ""sin daños personales y sin sangre"".

Añade que ""este avance de la represión, llevado a cabo por manos expertas provenientes del aparato represivo de la dictadura no desmantelado por el gobierno, viene de la mano del avance del partido militar y tiene al gobierno de Alfonsín como a la dirigencia política burguesa como cómplices y responsables de la restricción creciente de la democracia.""",1,3,agresion:1;conflicto:1;repudia:1,3,1260,78
1989-01-07,1989,IMG_20240906_091733_1989-01-07_04_nota.txt,LaCapital_txt/lc_1989_txt/IMG_20240906_091733_1989-01-07_04_nota.txt,"Paran los guardavidas

Una asamblea de afiliados al Sindicato de Guardavidas y Afines de Mar del Plata resolvió anoche iniciar desde hoy un paro por tiempo indeterminado ante la ""negativa actitud del municipio que no reconoce nuestro pedido de reencasillamiento"", informó a LA CAPITAL el secretario gremial Eduardo Marinucci. El nombrado recomendó, ante la medida de fuerza que deja sin el esencial servicio a las playas de la costa marplatense, ""a los banistas a que extremen la prudencia para evitar accidentes"".",1,4,asamblea:1;medida de fuerza:1;paran:1;paro:1,4,514,320
1989-01-09,1989,IMG_20240906_092241_1989-01-09_014_nota.txt,LaCapital_txt/lc_1989_txt/IMG_20240906_092241_1989-01-09_014_nota.txt,"Incidentes con los bañeros en huelga

Un grupo de 20 efectivos de la Policía de la Provincia de Buenos Aires, armados con lanzagases, intentaron impedir ayer una manifestación de unos 300 guardavidas quienes están llevando a cabo un paro por tiempo indeterminado.

El incidente se produjo en la playa Bristol, desde donde partieron los manifestantes, afiliados al Sindicato de Guardavidas, para exigir frente a la Secretaría Municipal de Turismo, ""soluciones al problema del encuadramiento sindical y mejoras"".

No hubo represión policial, pero sí fuertes diálogos entre los manifestantes y representantes de la policía frente al edificio municipal de Turismo, lo cual provocó el arremolinamiento de los turistas que circulaban por la zona.

El secretario general del Sindicato de Guardavidas, Carlos Alconada, señaló que ""nosotros protestamos porque queremos trabajar, no solamente por el tema salarial, pero parece que quieren reprimir"" y denunció que ayer a la mañana ""agredieron a golpes a varios compañeros"".

Para evitar inconvenientes a los turistas, a raíz de la huelga que vienen manteniendo los guardavidas desde hace dos días, la Municipalidad de General Pueyrredón, puso en marcha el denominado operativo ""Nauutilus"".

Este operativo fue montado con carácter de emergencia, y participan alrededor de un centenar de nadadores. Estos fueron convocados anteayer por la municipalidad local, a través de la Secretaría Municipal de Turismo.

Por el momento, el único problema se produjo cuando un efectivo de la Policía de la Provincia, perteneciente al cuerpo de Infantería, debió arrojarse ayer al agua en la ""playa popular"" frente al Casino, para rescatar a un niño, a quien salvó de morir ahogado. (Más información en las páginas siete y ocho).",1,5,huelga:2;incidentes:1;marcha:1;paro:1,4,1754,502
1989-01-12,1989,IMG_20240906_093108_1989-01-12_002_nota.txt,LaCapital_txt/lc_1989_txt/IMG_20240906_093108_1989-01-12_002_nota.txt,"Por los cortes de la DEBA

Los textiles en estado de alerta

La Asociación Obrera Textil, seccional Mar del Plata, también hizo pública una declaración conteniendo fuertes críticas en relación con la emergencia del sistema eléctrico del país. ""Es una demostración más —se manifiesta en el comunicado que suscribe el secretario general de la seccional, Ricardo Gómez— del desgobierno radical que día a día debemos padecer, fruto de una imprevisión y desatención del patriomonio nacional que el propio pueblo pusiera en sus manos hace más de cinco años para su correcto cuidado y funcionamiento, además de su crecimiento, los obreros textiles marplatenses nos preguntamos una vez más hasta cuándo"".

La AOT Mar del Plata se muestra también sumamente crítica respecto de la actuación de la DEBA. ""Hay hogares suficientemente castigados por salarios negros e injustos para que ahora nos debamos ver ante un nuevo cuadro de anarquía dentro de la DEBA, que al no planificar ni cumplir con los cronogramas de corte publicados crea un verdadero caos dentro de los establecimientos fabriles, los que no saben a qué atenerse para mantener el normal ritmo de la producción"". ""No obstante —se aclara— debemos reconocer la buena voluntad de algunos empresarios de la zona hacia sus operarios al aceptar la propuesta de abonar las horas caídas por falta de energía eléctrica, como asimismo el pago del transporte en aquellos casos que se debió alterar su horario corrido"".

Estado de alerta

La AOT, en lo que concierne a sus resoluciones, exhorta ""a las autoridades de la DEBA a desarrollar una política de emergencia que, coherentemente, permita a los empresarios de la zona planificar sus horarios de trabajo"" e insta a los empresarios a ""considerar que cualquier modificación en la metodología de trabajo que afecte directamente a los trabajadores en esta emergencia, sea previamente discutida por ambas partes, empresarios y trabajadores, a fin de arribar a soluciones en común"".

Por último, la AOT Mar del Plata se declara en estado de alerta y convoca a una asamblea para mañana a las 20 a fin de evaluar la situación y fijar la conducta a seguir. La reunión se concretará en Balcarce 3321.",1,4,asamblea:1;estado de alerta:3,2,2184,810
1989-01-13,1989,IMG_20240906_093300_1989-01-13_04_nota.txt,LaCapital_txt/lc_1989_txt/IMG_20240906_093300_1989-01-13_04_nota.txt,"Contra la privatización de empresas del Estado

""En defensa de la municipalización de los servicios de la Comuna"", se manifiesta la Agrupación Peronista de Trabajadores Municipales. Referencias sobre lo que consideran inconveniente para el interés público. Otros conceptos sobre organismos del municipio.

La Agrupación Peronista de Trabajadores Municipales se ha declarado en estado de alerta, auspiciando la misma actitud para todo el gremio, en defensa de la municipalización de los servicios de la Comuna, y contra lo que sus dirigentes consideran intentos privatistas de la conducción política de la intendencia.

En visita a LA CAPITAL, los directivos de la citada agrupación Marcelo Cardoso, Horacio Liste y Ángel Anchoverrí entregaron una declaración en la que se afirma que el conjunto de los trabajadores municipales ""cree en la Comuna como una empresa de la comunidad sirviéndose a sí mismo, no como mera intermediaria entre el contribuyente y una empresa privada de servicio. La empresa privada encarece el servicio al incorporar su ganancia y se capitaliza no en función del interés social, sino en su propio interés"", se expresa en el documento recientemente aprobado.

En diálogo con uno de nuestros redactores, los citados militantes peronistas advirtieron que las privatizaciones se extienden, por caso, a los servicios de limpieza de numerosas dependencias, siendo que la tarea se licitó tiempo atrás sólo para el denominado Palacio Municipal, de avenida Luro y Irigoyen. También hicieron notar la falta de elementos que afecta al sector de Espacios Verdes, al punto que los trabajadores afectados a este departamento ponen herramientas de su propiedad para poder cumplir con sus funciones. Otro motivo de malestar, en opinión de los municipales identificados con el peronismo, es el proyecto de extender la concesión de limpieza y recolección de residuos a barrios que son servidos actualmente, y de manera eficaz, con medios comunales.

Ante estos aspectos, asegura la agrupación que ""la empresa privada busca aumentar su tasa de ganancia y para ello no repara en no cumplir con los términos de las licitaciones, en mantener a sus obreros en condiciones indignas de trabajo, en última instancia devolver el problema al Municipio. La comunidad y los trabajadores municipales, aún recordamos el fracaso y el conflicto que acarreó la privatización del alumbrado público"".

""No creemos —también se advierte— en el recurso liberal de identificar a la empresa pública como ineficiente, porque estamos seguros de nuestro trabajo, el que sólo encuentra trabas cuando las aptitudes de la empresa privada para tomar servicios, se basan en funcionarios mal intencionados que boloclean el servicio municipal, al no entregar los materiales necesarios y al no planificar el trabajo"".

Por último se manifiesta: ""Creemos en la cogestión como instrumento para volcar los conocimientos y la experiencia de los trabajadores en la función de codirección de la administración. Los trabajadores municipales somos sensatos y pacíficos pero junto a la razón también si es necesario mostraremos la fuerza de un gremio unido, en defensa de nuestra idea y de nuestras fuentes de trabajo. Ante cualquier intento de privatización o la extensión de sectores ya privatizados como la limpieza de edificios o la recolección, solicitaremos a nuestro sindicato el inmediato estado de alerta y movilización"".",1,4,conflicto:1;estado de alerta:2;malestar:1,3,3393,908
1989-01-18,1989,IMG_20240906_094150_1989-01-18_005_nota.txt,LaCapital_txt/lc_1989_txt/IMG_20240906_094150_1989-01-18_005_nota.txt,"Buenos Aires (NA) — El ministro de Obras y Servicios Públicos, Rodolfo Terragno, formalizó ayer un acuerdo con su par de la provincia de Buenos Aires, Alfonso Dujovne, para destinar parte del crédito otorgado por el Banco Mundial a completar las obras de la central hidroeléctrica ""Luis Piedra Buena"". A su vez, ambos gobiernos alcanzaron un ""acuerdo satisfactorio"" por el pago de las ""deudas reciprocas"" que mantienen las empresas SEGBA y DEBA.

En la reunión, celebrada en el despacho del segundo mandatario, el ministro Iluminado en forma natural también participaron el secretario de Energía, Roberto Echarte, y funcionarios provinciales, quienes durante casi dos horas discutieron los términos del acuerdo.

Si bien no se pormenorizaron los detalles, Terragno destacó a Noticias Argentinas que los fondos a emplear en la concreción de las obras forman parte del crédito de ""emergencia"" otorgado por el Banco Mundial a la Argentina ""y no a una empresa en especial"". ""El crédito no es para SEGBA o para DEBA sino que apunta a contribuir a la emergencia en general"", dijo el ministro.

Previamente, en rueda de prensa, el funcionario admitió que la nota que la Provincia dirigiera el 27 de diciembre pasado al Ministerio de Economía ""no era la primera que advertía sobre los problemas financieros que enfrentamos para terminar Piedra Buena"". Con gesto más distendido que en los últimos días, Terragno sostuvo que ""la central de Bahía Blanca es la obra más inmediata con que podemos contar, pero con ella no se va a solucionar el problema energético, aunque servirá para paliar la crisis"".

Agregó que ""el gobierno nacional obtuvo financiamiento para solucionar el conjunto de la crisis"" pero advirtió que ""no deben crearse falsas expectativas"" a la población. ""A las penurias que sufren los pobladores no podemos agregar un mano irresponsable del tema"", aseveró el ministro, para luego aseverar que ""no tenemos una solución real a la vista, aunque buscamos que la crisis tenga las características menos dolorosas para la población"".

Sobre las críticas que se hicieran al gobierno sobre falta de mantenimiento del parque eléctrico a causa del pago de las obligaciones externas, Terragno aseveró que ""la Argentina es un país subdesarrollado, hiperdéficitario, en el cual lamentablemente todos los recursos que genera el comercio exterior deben ser destinados al pago de la deuda externa, lo que representa grandes dificultades económicas para cualquier proyecto"".

Tras calificarlo como ""pesimista"" el cálculo de Guadagni sobre los seis meses que duraría la actual situación, el funcionario aseguró que le parece ""natural"" que la crisis sea ""utilizada políticamente por la oposición. Pero pese a las críticas que tienen motivaciones políticas, nadie puede sostener que el viejo parque termo eléctrico de SEGBA puede reemplazar a la mitad de El Chocón, a la mitad de Salto Grande, a la mitad de Alcorta"", expresó el funcionario en relación a las quejas por la falta de mantenimiento de material de SEGBA y la venta de equipos como ""chatarra"".

Terragno, asimismo, defendió tácitamente la gestión de Echarte en la Secretaría de Energía al admitir que ""aparentemente"" su cargo nos presentó un informe en el que advertía que de producirse una baja en el caudal de los ríos, la situación podría tornarse comprometida, contrario a lo que nosotros creíamos sobre una gran oferta eléctrica.

El ministro comentó también que en el mes de octubre de 1988 se negó a un fuerte incremento de tarifas ""que hubiera servido para disminuir la demanda y recoger más fondos"" debido al ""ánimo adverso"" de la población respecto a la tasa inflacionaria. Por último, el funcionario dijo que no puede ""decir nada"" ante las críticas, pero que si le molestan profundamente ""las mentiras"" como, por ejemplo, ""que estaba en las Bahamas"", en tanto aseguró aceptar ""todos los costos políticos"" de la actual crisis.

Por su parte, Guadagni declaró que se logró un ""acuerdo satisfactorio"" por las deudas ""recíprocas"" que mantienen SEGBA y DEBA, y destacó la actitud de Terragno de asistir económicamente a la provincia porque ""lo importante ahora es superar esta situación. En la medida de hoy acordamos una fórmula para la asistencia que nos permitirá terminar en el menor tiempo posible la central Piedra Buena"", dijo el ministro provincial, aunque no especificó los pormenores de esa fórmula.

Guadagni anunció también que ""pasado mañana vamos a poner en marcha un turbo generador en Mar de Ajó que colaborará en el suministro de energía a la costa atlántica"".

El acuerdo

El ministro de Obras y Servicios Públicos, Rodolfo Terragno, anunció ayer que en los próximos días se efect...",1,3,demanda:1;marcha:1;rueda de prensa:1,3,4656,1305
1989-01-24,1989,IMG_20240906_095451_1989-01-24_013_nota.txt,LaCapital_txt/lc_1989_txt/IMG_20240906_095451_1989-01-24_013_nota.txt,"AGRESIÓN

BARILLOCHE (Télam) — A caballo, y armados con machetes, seis sujetos atacaron un campamento de veraneantes ubicado a orillas del río Quemquentreu, cercano a ""El Bolsón"", distante a 120 kilómetros al sudoeste de San Carlos de Bariloche, originando heridas cortantes de consideración a un joven oriundo de la provincia de Córdoba.

El campamento, formado por un grupo de participantes del encuentro de ceramistas convocados por la Secretaría de Cultura de la nación, fue víctima de un salvaje ataque por parte de seis individuos que armados con machete y montados a caballo irrumpieron violentamente en el lugar, agrediendo a los acampantes y robándose dos motocicletas.

Si bien no se dio a conocer la identidad de los agresores, la policía procedió a la detención de los mismos, de quienes solamente se supo que ocupaban dos viviendas precarias próximas al lugar que se había asignado a los acampantes.

En la agresión, un joven cordobés sufrió cinco heridas cortantes.",1,3,agresion:2;ataque:1,2,979,1837
1989-02-02,1989,IMG_20240906_100833_1989-02-02_004_nota.txt,LaCapital_txt/lc_1989_txt/IMG_20240906_100833_1989-02-02_004_nota.txt,"El justicialismo cita a todos sus militantes

El Consejo del Partido Justicialista de General Pueyrredón ha convocado a los militantes de todas las unidades básicas y agrupaciones marplatenses a una asamblea informativa que se llevará a cabo en la sede partidaria de Moreno 3749 hoy a las 19. El programa del día que habrá de analizarse incluye tres puntos. El primero es el análisis político del ataque terrorista al Regimiento de Infantería Motorizada 3 General Belgrano con asiento en La Tablada. El segundo la organización de la campaña nacional y local, por el periodo febrero-mayo del corriente año y el tercero escuchar un informe general de lo actuado por este consejo de partido al día de la fecha.

El socialismo y el Estado

En conferencia de prensa realizada como parte de la intensa actividad desplegada por el candidato del Partido Socialista Popular, el diputado Guillermo Estévez Boero explicó su posición en relación con el tema de los servicios públicos en manos del Estado. En la oportunidad destacó: ""Nosotros vamos a hacer funcionar eficaz y eficientemente a los servicios públicos, se los vamos a sacar a un Estado burocrático que no es un Estado socialista sino un Estado radicaljusticialista que tiene incapacidad para hacerlo funcionar"".

El candidato socialista aclaró que ""no se los vamos a regalar al extranjero, como planteó el ministro Terragno, sino que, como nos enseñó Juan B. Justo, los vamos a transformar en cooperativas, para que la gente, el usuario, juntamente con los trabajadores, administren los servicios públicos, descentralizando sin desarticularlos, poniendo su contralor al alcance de la mano de cada vecino"".

""Esto tampoco es una utopía —enfatizó— ya que ha funcionado y se hacen cooperativas de servicios públicos en todo el país. Lo que pasa —recalcó— es que cuando transformamos una compañía del Estado en una cooperativa no le hacemos ninguna gauchada al Fondo Monetario Internacional, y en cambio si le entregamos nuestras mejores empresas, como Aerolíneas Argentinas y ENTEL, al capital extranjero por 10 pesos el país está cumpliendo con las condiciones impuestas por el FMI"".",1,3,asamblea:1;ataque:1;conferencia de prensa:1,3,2132,2225
1989-02-20,1989,IMG_20240906_103613_1989-02-20_006_nota.txt,LaCapital_txt/lc_1989_txt/IMG_20240906_103613_1989-02-20_006_nota.txt,"En ENCOTEL

Tersano en contra de las medidas de fuerza

Integrantes de la agrupación Celeste y Blanca marplatense, de la Asociación Mutual Empleados Obreros Telepostales, a través de un documento hicieron saber que no acatarán ""ningún tipo de medidas de fuerza que disponga la federación hasta que no se termine negociación con la empresa"". Se expresa que ""si bien no estamos en el mismo salario que tenemos los telepostales, no estamos con pares zonales, no queremos que defrauden a los trabajadores con falsas expectativas, pero sí queremos cuidar la fuente de trabajo y que no se aguante los servicios privados perdiendo adherentes la ENCOTEL"".

Con la firma de Julio Tersano, Héctor Abel Filgueiro, Horacio Regazzoni, Julio Marego y Jorge Tersano, entre otros, se señala que en Mar del Plata ""no tenemos representación gremial avalada por el ministerio del Trabajo, lo que imposibilita que el diálogo sea fluido"".

En otro documento llegado a esta redacción y firmado por el mismo Tersano, se señala que hace ya casi dos años que un grupo de ""seudos dirigentes de la seccional La Plata procedieron a ocupar el local sindical de la calle Colón mediante fuerza, y a tratar de destituir al secretario local, electo por amplia mayoría en los comicios que se efectuaron en 1983"".

Se denuncia además que se ha orquestado ""una campaña de infundios contra el secretario local Julio Alfredo Tersano, que consistió en la propagación de rumores, todos ellos absolutamente desvirtuados, por cuanto se demostró ante todos los compañeros la falsedad de tal campaña"", como así también se recuerda ""la falta de pago de una rifa organizada por la seccional, la denuncia de los falsos reclamos judiciales por parte de los beneficiarios y la denuncia de los trabajadores de FOECYT ante el ministro del Trabajo, doctor Ideler Tonelli"". Asimismo, Tersano denuncia ""la dolosa venta de entradas a festivales no autorizados, aprovechando la circunstancia de poder efectuarla mediante el uso de carteros"", como así también la falsedad del balance anual, ""impugnado en la asamblea recientemente realizada, por cuanto no se han rendido cuentas en el mismo del producido en concepto de venta de rifas"" y la ""despreocupación total por el afiliado al que no han asistido ni convocado por razones de su conveniencia"".

Por último, se señala que ""las elecciones fueron impugnadas y hasta que el ministerio del Trabajo no se expida el señor Fernández y sus actuales no representan a nadie"". Mientras la justicia decide, los usurpadores de La Plata continúan perjudicando a los obreros, y con esa dirigencia debe terminar nuestro pueblo si quiere recuperar su destino de grandeza"", concluye.",1,3,asamblea:1;medidas de fuerza:2,2,2662,3001
1989-02-25,1989,IMG_20240906_104231_1989-02-25_012_nota.txt,LaCapital_txt/lc_1989_txt/IMG_20240906_104231_1989-02-25_012_nota.txt,"SUTEBA programa reunión informativa

La seccional Mar del Plata del Sindicato Único de Trabajadores de la Educación de Buenos Aires (SUTEBA), convocó a todos sus afiliados a una asamblea general para el 11 de marzo, a las 18, en las instalaciones del Colegio Nacional ""Mariano Moreno"", Alberti y Mitre. En la oportunidad se escuchará un informe de la situación gremial, y el mandato de secretarios generales de la organización al XIII Congreso Extraordinario de CTERA.

Por los derechos humanos

Por su parte, SUTEBA ha emitido una declaración en la que sostiene que ""entendemos que la defensa, recuperación y lucha por la vigencia de los derechos humanos, nos involucra esencialmente a todos los sectores populares, y especialmente a los trabajadores. Reivindicamos la permanente lucha del pueblo, quien ha sostenido históricamente un continuo accionar en pos de la liberación, que en definitiva encarna la máxima reivindicación de nuestra organización: el pueblo"". Por tal motivo la seccional Mar del Plata adhiere al Sexto Festival Nacional ""El Canto y la Música por la Vida y la Libertad"", a realizarse el lunes a las 20 en el patrocinio municipal. Las entradas se encuentran en venta en la sede gremial de España 1752, departamento 2, diariamente de 18 a 21.",1,3,asamblea:1;lucha:2,2,1263,3255
